NACA#,Camber (%),Camber Position (x/c),Thickness (%),Re,Mach,Alpha,CL,CD,CM
naca0208,0.0,0.2,8.0,100000,0.3,1,0.0539,0.01196,0.0091
naca0208,0.0,0.2,8.0,100000,0.3,2,0.2675,0.01257,-0.012
naca0208,0.0,0.2,8.0,100000,0.3,3,0.4055,0.01221,-0.0087
naca0208,0.0,0.2,8.0,100000,0.3,4,0.4828,0.01617,0.0015
naca0208,0.0,0.2,8.0,100000,0.3,5,0.5731,0.02066,0.018
naca0208,0.0,0.2,8.0,100000,0.3,6,0.6772,0.02998,0.0108
naca0208,0.0,0.2,8.0,100000,0.3,7,1.1697,0.05957,-0.1472
naca0208,0.0,0.2,8.0,100000,0.3,8,0.8952,0.05277,0.0003
naca0208,0.0,0.2,8.0,200000,0.1,0,0.0,0.00834,-0.0
naca0208,0.0,0.2,8.0,200000,0.1,1,0.1266,0.00851,-0.0051
naca0208,0.0,0.2,8.0,200000,0.1,2,0.2884,0.00813,-0.0132
naca0208,0.0,0.2,8.0,200000,0.1,3,0.3772,0.00904,-0.0062
naca0208,0.0,0.2,8.0,200000,0.1,4,0.4647,0.01116,-0.0015
naca0208,0.0,0.2,8.0,200000,0.1,5,0.5529,0.01554,0.0021
naca0208,0.0,0.2,8.0,200000,0.1,6,1.7109,0.00939,-0.3706
naca0208,0.0,0.2,8.0,200000,0.1,7,0.7954,0.03479,0.003
naca0208,0.0,0.2,8.0,200000,0.1,8,1.5636,0.02635,-0.1963
naca0208,0.0,0.2,8.0,200000,0.15,0,0.0,0.00837,-0.0
naca0208,0.0,0.2,8.0,200000,0.15,1,0.1319,0.00852,-0.006
naca0208,0.0,0.2,8.0,200000,0.15,2,0.2904,0.00815,-0.0131
naca0208,0.0,0.2,8.0,200000,0.15,3,0.3796,0.00912,-0.006
naca0208,0.0,0.2,8.0,200000,0.15,4,0.475,0.0108,-0.0053
naca0208,0.0,0.2,8.0,200000,0.15,5,0.5567,0.01572,0.0025
naca0208,0.0,0.2,8.0,200000,0.15,6,0.6724,0.02154,-0.0023
naca0208,0.0,0.2,8.0,200000,0.15,7,0.9475,0.01941,-0.0448
naca0208,0.0,0.2,8.0,200000,0.15,8,1.4852,0.04187,-0.087
naca0208,0.0,0.2,8.0,200000,0.2,0,0.0,0.00842,-0.0
naca0208,0.0,0.2,8.0,200000,0.2,1,0.1398,0.00854,-0.0073
naca0208,0.0,0.2,8.0,200000,0.2,2,0.293,0.00818,-0.0129
naca0208,0.0,0.2,8.0,200000,0.2,3,0.383,0.00923,-0.0058
naca0208,0.0,0.2,8.0,200000,0.2,4,0.5485,0.01246,-0.0207
naca0208,0.0,0.2,8.0,200000,0.2,5,0.5621,0.016,0.003
naca0208,0.0,0.2,8.0,200000,0.2,6,0.658,0.0216,0.0069
naca0208,0.0,0.2,8.0,200000,0.2,7,0.8797,0.05223,-0.0437
naca0208,0.0,0.2,8.0,200000,0.2,8,0.8503,0.0494,0.0039
naca0208,0.0,0.2,8.0,200000,0.25,0,0.0,0.00848,-0.0
naca0208,0.0,0.2,8.0,200000,0.25,1,0.1505,0.00856,-0.0091
naca0208,0.0,0.2,8.0,200000,0.25,2,0.2965,0.00823,-0.0126
naca0208,0.0,0.2,8.0,200000,0.25,3,0.3875,0.00939,-0.0055
naca0208,0.0,0.2,8.0,200000,0.25,4,0.4754,0.01259,-0.0009
naca0208,0.0,0.2,8.0,200000,0.25,5,0.5691,0.0164,0.0036
naca0208,0.0,0.2,8.0,200000,0.25,6,0.6898,0.02295,0.0045
naca0208,0.0,0.2,8.0,200000,0.25,7,0.7584,0.03025,0.0134
naca0208,0.0,0.2,8.0,200000,0.25,8,1.5869,0.03395,-0.1293
naca0208,0.0,0.2,8.0,200000,0.3,0,0.0,0.00856,-0.0
naca0208,0.0,0.2,8.0,200000,0.3,1,0.1617,0.00858,-0.0108
naca0208,0.0,0.2,8.0,200000,0.3,2,0.3009,0.00831,-0.0122
naca0208,0.0,0.2,8.0,200000,0.3,3,0.3934,0.00959,-0.0052
naca0208,0.0,0.2,8.0,200000,0.3,4,0.4825,0.013,-0.0003
naca0208,0.0,0.2,8.0,200000,0.3,5,0.5779,0.01697,0.0045
naca0208,0.0,0.2,8.0,200000,0.3,6,0.6748,0.0245,0.0093
naca0208,0.0,0.2,8.0,200000,0.3,7,1.9931,0.01003,-0.3813
naca0208,0.0,0.2,8.0,200000,0.3,8,1.0157,0.04205,-0.0368
naca0208,0.0,0.2,8.0,300000,0.1,0,0.0,0.00706,-0.0
naca0208,0.0,0.2,8.0,300000,0.1,1,0.179,0.00681,-0.0143
naca0208,0.0,0.2,8.0,300000,0.1,2,0.2784,0.00693,-0.0097
naca0208,0.0,0.2,8.0,300000,0.1,3,0.3723,0.00821,-0.0055
naca0208,0.0,0.2,8.0,300000,0.1,4,0.4641,0.01062,-0.0026
naca0208,0.0,0.2,8.0,300000,0.1,5,0.5735,0.01808,0.0185
naca0208,0.0,0.2,8.0,300000,0.1,6,0.6015,0.01941,0.0425
naca0208,0.0,0.2,8.0,300000,0.1,7,0.7445,0.023,0.008
naca0208,0.0,0.2,8.0,300000,0.1,8,0.8294,0.03532,0.009
naca0208,0.0,0.2,8.0,300000,0.15,0,0.0,0.00709,-0.0
naca0208,0.0,0.2,8.0,300000,0.15,1,0.1811,0.00682,-0.0144
naca0208,0.0,0.2,8.0,300000,0.15,2,0.2803,0.00697,-0.0096
naca0208,0.0,0.2,8.0,300000,0.15,3,0.3749,0.00829,-0.0055
naca0208,0.0,0.2,8.0,300000,0.15,4,0.4672,0.01078,-0.0025
naca0208,0.0,0.2,8.0,300000,0.15,5,0.5614,0.01357,0.0011
naca0208,0.0,0.2,8.0,300000,0.15,6,0.5885,0.03361,0.0224
naca0208,0.0,0.2,8.0,300000,0.15,7,0.7486,0.02385,0.0088
naca0208,0.0,0.2,8.0,300000,0.15,8,0.9344,0.02992,0.0125
naca0208,0.0,0.2,8.0,300000,0.2,0,0.0,0.00713,-0.0
naca0208,0.0,0.2,8.0,300000,0.2,1,0.1848,0.00683,-0.0148
naca0208,0.0,0.2,8.0,300000,0.2,2,0.2831,0.00704,-0.0095
naca0208,0.0,0.2,8.0,300000,0.2,3,0.3786,0.0084,-0.0054
naca0208,0.0,0.2,8.0,300000,0.2,4,0.4715,0.01099,-0.0022
naca0208,0.0,0.2,8.0,300000,0.2,5,0.5669,0.01378,0.0016
naca0208,0.0,0.2,8.0,300000,0.2,6,0.2977,0.06619,0.0665
naca0208,0.0,0.2,8.0,300000,0.2,7,0.7539,0.02515,0.01
naca0208,0.0,0.2,8.0,300000,0.2,8,1.2789,0.03426,-0.0924
naca0208,0.0,0.2,8.0,300000,0.25,0,0.0,0.00718,-0.0
naca0208,0.0,0.2,8.0,300000,0.25,1,0.189,0.00686,-0.0151
naca0208,0.0,0.2,8.0,300000,0.25,2,0.2868,0.00713,-0.0094
naca0208,0.0,0.2,8.0,300000,0.25,3,0.3836,0.00855,-0.0053
naca0208,0.0,0.2,8.0,300000,0.25,4,0.4775,0.01125,-0.0019
naca0208,0.0,0.2,8.0,300000,0.25,5,0.574,0.0141,0.0022
naca0208,0.0,0.2,8.0,300000,0.25,6,0.6688,0.0191,0.0066
naca0208,0.0,0.2,8.0,300000,0.25,7,1.1435,0.01626,-0.0656
naca0208,0.0,0.2,8.0,300000,0.25,8,1.5492,0.02266,-0.1353
naca0208,0.0,0.2,8.0,300000,0.3,0,0.0,0.00723,-0.0
naca0208,0.0,0.2,8.0,300000,0.3,1,0.1938,0.00689,-0.0153
naca0208,0.0,0.2,8.0,300000,0.3,2,0.2916,0.00724,-0.0093
naca0208,0.0,0.2,8.0,300000,0.3,3,0.3899,0.00874,-0.0051
naca0208,0.0,0.2,8.0,300000,0.3,4,0.4853,0.01154,-0.0015
naca0208,0.0,0.2,8.0,300000,0.3,5,0.5816,0.01482,0.0032
naca0208,0.0,0.2,8.0,300000,0.3,6,0.6717,0.02863,0.0046
naca0208,0.0,0.2,8.0,300000,0.3,7,0.7629,0.02984,0.0138
naca0208,0.0,0.2,8.0,300000,0.3,8,0.7842,0.04713,0.0175
naca0208,0.0,0.2,8.0,400000,0.1,0,0.0,0.00604,-0.0
naca0208,0.0,0.2,8.0,400000,0.1,1,0.1737,0.00593,-0.012
naca0208,0.0,0.2,8.0,400000,0.1,2,0.2737,0.00645,-0.0085
naca0208,0.0,0.2,8.0,400000,0.1,3,0.371,0.00778,-0.0057
naca0208,0.0,0.2,8.0,400000,0.1,4,0.4653,0.00994,-0.0032
naca0208,0.0,0.2,8.0,400000,0.1,5,0.5602,0.01227,0.0
naca0208,0.0,0.2,8.0,400000,0.1,6,0.6558,0.01499,0.0032
naca0208,0.0,0.2,8.0,400000,0.1,7,0.748,0.0201,0.0068
naca0208,0.0,0.2,8.0,400000,0.1,8,0.8356,0.02589,0.0101
naca0208,0.0,0.2,8.0,400000,0.15,0,0.0,0.00604,-0.0
naca0208,0.0,0.2,8.0,400000,0.15,1,0.1726,0.00595,-0.0114
naca0208,0.0,0.2,8.0,400000,0.15,2,0.2758,0.0065,-0.0085
naca0208,0.0,0.2,8.0,400000,0.15,3,0.3737,0.00785,-0.0057
naca0208,0.0,0.2,8.0,400000,0.15,4,0.4686,0.01005,-0.0031
naca0208,0.0,0.2,8.0,400000,0.15,5,0.5644,0.01236,0.0003
naca0208,0.0,0.2,8.0,400000,0.15,6,0.6604,0.01522,0.0037
naca0208,0.0,0.2,8.0,400000,0.15,7,0.7528,0.02068,0.0075
naca0208,0.0,0.2,8.0,400000,0.15,8,1.7515,0.03868,-0.1483
naca0208,0.0,0.2,8.0,400000,0.2,0,-0.0,0.00603,0.0
naca0208,0.0,0.2,8.0,400000,0.2,1,0.1712,0.00597,-0.0107
naca0208,0.0,0.2,8.0,400000,0.2,2,0.2788,0.00657,-0.0085
naca0208,0.0,0.2,8.0,400000,0.2,3,0.3776,0.00795,-0.0057
naca0208,0.0,0.2,8.0,400000,0.2,4,0.4733,0.01021,-0.0029
naca0208,0.0,0.2,8.0,400000,0.2,5,0.5703,0.01251,0.0007
naca0208,0.0,0.2,8.0,400000,0.2,6,0.6668,0.01559,0.0044
naca0208,0.0,0.2,8.0,400000,0.2,7,0.7592,0.02159,0.0086
naca0208,0.0,0.2,8.0,400000,0.2,8,1.4014,0.06451,-0.1232
naca0208,0.0,0.2,8.0,400000,0.25,0,0.0,0.00603,0.0
naca0208,0.0,0.2,8.0,400000,0.25,1,0.1692,0.00601,-0.0097
naca0208,0.0,0.2,8.0,400000,0.25,2,0.2828,0.00666,-0.0085
naca0208,0.0,0.2,8.0,400000,0.25,3,0.3828,0.00809,-0.0056
naca0208,0.0,0.2,8.0,400000,0.25,4,0.4795,0.01044,-0.0026
naca0208,0.0,0.2,8.0,400000,0.25,5,0.7817,0.01192,-0.0347
naca0208,0.0,0.2,8.0,400000,0.25,6,0.6752,0.01614,0.0054
naca0208,0.0,0.2,8.0,400000,0.25,7,0.7667,0.02297,0.0102
naca0208,0.0,0.2,8.0,400000,0.25,8,0.8489,0.03398,0.0125
naca0208,0.0,0.2,8.0,400000,0.3,0,0.0,0.00603,-0.0
naca0208,0.0,0.2,8.0,400000,0.3,1,0.1676,0.00605,-0.0087
naca0208,0.0,0.2,8.0,400000,0.3,2,0.2879,0.00677,-0.0085
naca0208,0.0,0.2,8.0,400000,0.3,3,0.3894,0.00827,-0.0056
naca0208,0.0,0.2,8.0,400000,0.3,4,0.4877,0.01064,-0.0023
naca0208,0.0,0.2,8.0,400000,0.3,5,0.5874,0.01308,0.002
naca0208,0.0,0.2,8.0,400000,0.3,6,0.6855,0.01694,0.0067
naca0208,0.0,0.2,8.0,400000,0.3,7,1.3229,0.01743,-0.0699
naca0208,0.0,0.2,8.0,400000,0.3,8,1.0611,0.03581,0.0004
naca0208,0.0,0.2,8.0,500000,0.1,0,-0.0,0.00521,0.0
naca0208,0.0,0.2,8.0,500000,0.1,1,0.1426,0.00536,-0.0049
naca0208,0.0,0.2,8.0,500000,0.1,2,0.2717,0.00618,-0.0081
naca0208,0.0,0.2,8.0,500000,0.1,3,0.371,0.00749,-0.0061
naca0208,0.0,0.2,8.0,500000,0.1,4,0.4665,0.00944,-0.0037
naca0208,0.0,0.2,8.0,500000,0.1,5,0.5636,0.01122,-0.0008
naca0208,0.0,0.2,8.0,500000,0.1,6,0.6586,0.01384,0.0025
naca0208,0.0,0.2,8.0,500000,0.1,7,0.7544,0.01706,0.0055
naca0208,0.0,0.2,8.0,500000,0.1,8,0.8402,0.02375,0.0093
naca0208,0.0,0.2,8.0,500000,0.15,0,-0.0,0.00521,0.0
naca0208,0.0,0.2,8.0,500000,0.15,1,0.1418,0.00539,-0.0044
naca0208,0.0,0.2,8.0,500000,0.15,2,0.2739,0.00623,-0.0082
naca0208,0.0,0.2,8.0,500000,0.15,3,0.3737,0.00757,-0.0061
naca0208,0.0,0.2,8.0,500000,0.15,4,0.47,0.00952,-0.0036
naca0208,0.0,0.2,8.0,500000,0.15,5,0.5677,0.01133,-0.0005
naca0208,0.0,0.2,8.0,500000,0.15,6,0.6615,0.01447,0.0032
naca0208,0.0,0.2,8.0,500000,0.15,7,0.7593,0.0175,0.0061
naca0208,0.0,0.2,8.0,500000,0.15,8,0.8426,0.02515,0.0105
naca0208,0.0,0.2,8.0,500000,0.2,0,0.0,0.00521,-0.0
naca0208,0.0,0.2,8.0,500000,0.2,1,0.1407,0.00541,-0.0038
naca0208,0.0,0.2,8.0,500000,0.2,2,0.277,0.0063,-0.0082
naca0208,0.0,0.2,8.0,500000,0.2,3,0.3777,0.00767,-0.0061
naca0208,0.0,0.2,8.0,500000,0.2,4,0.4748,0.00966,-0.0034
naca0208,0.0,0.2,8.0,500000,0.2,5,0.5735,0.01151,-0.0001
naca0208,0.0,0.2,8.0,500000,0.2,6,0.6684,0.01472,0.0038
naca0208,0.0,0.2,8.0,500000,0.2,7,0.7658,0.01831,0.0072
naca0208,0.0,0.2,8.0,500000,0.2,8,0.8434,0.02758,0.0124
naca0208,0.0,0.2,8.0,500000,0.25,0,0.0,0.00521,-0.0
naca0208,0.0,0.2,8.0,500000,0.25,1,0.139,0.00545,-0.003
naca0208,0.0,0.2,8.0,500000,0.25,2,0.2811,0.00639,-0.0083
naca0208,0.0,0.2,8.0,500000,0.25,3,0.383,0.0078,-0.0061
naca0208,0.0,0.2,8.0,500000,0.25,4,0.4813,0.00982,-0.0032
naca0208,0.0,0.2,8.0,500000,0.25,5,0.5805,0.0119,0.0006
naca0208,0.0,0.2,8.0,500000,0.25,6,0.6773,0.01515,0.0048
naca0208,0.0,0.2,8.0,500000,0.25,7,1.4289,0.01279,-0.0057
naca0208,0.0,0.2,8.0,500000,0.25,8,0.8391,0.03145,0.0149
naca0208,0.0,0.2,8.0,500000,0.3,0,0.0,0.00522,-0.0
naca0208,0.0,0.2,8.0,500000,0.3,1,0.1368,0.0055,-0.0019
naca0208,0.0,0.2,8.0,500000,0.3,2,0.2865,0.0065,-0.0084
naca0208,0.0,0.2,8.0,500000,0.3,3,0.3898,0.00797,-0.0061
naca0208,0.0,0.2,8.0,500000,0.3,4,0.4899,0.00999,-0.0029
naca0208,0.0,0.2,8.0,500000,0.3,5,0.5893,0.01238,0.0014
naca0208,0.0,0.2,8.0,500000,0.3,6,0.6881,0.01584,0.0061
naca0208,0.0,0.2,8.0,500000,0.3,7,0.779,0.02249,0.0111
naca0208,0.0,0.2,8.0,500000,0.3,8,0.8269,0.03658,0.0176
naca0210,0.0,0.2,10.0,100000,0.1,0,-0.0,0.01325,0.0
naca0210,0.0,0.2,10.0,100000,0.1,1,0.0816,0.014,-0.0001
naca0210,0.0,0.2,10.0,100000,0.1,2,0.3239,0.01326,-0.0239
naca0210,0.0,0.2,10.0,100000,0.1,3,0.4195,0.01299,-0.0159
naca0210,0.0,0.2,10.0,100000,0.1,4,0.5019,0.0141,-0.0075
naca0210,0.0,0.2,10.0,100000,0.1,5,0.7259,0.01606,-0.0606
naca0210,0.0,0.2,10.0,100000,0.1,6,0.6593,0.02185,0.0049
naca0210,0.0,0.2,10.0,100000,0.1,7,0.7513,0.02768,0.0088
naca0210,0.0,0.2,10.0,100000,0.1,8,0.8323,0.03703,0.0131
naca0210,0.0,0.2,10.0,100000,0.15,0,-0.0,0.01333,0.0
naca0210,0.0,0.2,10.0,100000,0.15,1,0.0892,0.01405,-0.0014
naca0210,0.0,0.2,10.0,100000,0.15,2,0.3295,0.01324,-0.0243
naca0210,0.0,0.2,10.0,100000,0.15,3,0.4222,0.01304,-0.0156
naca0210,0.0,0.2,10.0,100000,0.15,4,0.5047,0.01422,-0.0072
naca0210,0.0,0.2,10.0,100000,0.15,5,0.7139,0.01362,-0.0511
naca0210,0.0,0.2,10.0,100000,0.15,6,0.7516,0.02213,-0.0022
naca0210,0.0,0.2,10.0,100000,0.15,7,0.7562,0.02843,0.0093
naca0210,0.0,0.2,10.0,100000,0.15,8,0.834,0.03826,0.0141
naca0210,0.0,0.2,10.0,100000,0.2,0,-0.0,0.01344,0.0
naca0210,0.0,0.2,10.0,100000,0.2,1,0.1012,0.01413,-0.0035
naca0210,0.0,0.2,10.0,100000,0.2,2,0.3341,0.01325,-0.0243
naca0210,0.0,0.2,10.0,100000,0.2,3,0.426,0.01313,-0.0152
naca0210,0.0,0.2,10.0,100000,0.2,4,0.509,0.0144,-0.0067
naca0210,0.0,0.2,10.0,100000,0.2,5,0.5844,0.01781,0.0006
naca0210,0.0,0.2,10.0,100000,0.2,6,0.6701,0.02269,0.0061
naca0210,0.0,0.2,10.0,100000,0.2,7,0.7627,0.02973,0.0101
naca0210,0.0,0.2,10.0,100000,0.2,8,0.8916,0.03751,0.0229
naca0210,0.0,0.2,10.0,100000,0.25,0,-0.0,0.01359,0.0
naca0210,0.0,0.2,10.0,100000,0.25,1,0.1191,0.01422,-0.0066
naca0210,0.0,0.2,10.0,100000,0.25,2,0.3408,0.01326,-0.0244
naca0210,0.0,0.2,10.0,100000,0.25,3,0.431,0.01326,-0.0147
naca0210,0.0,0.2,10.0,100000,0.25,4,0.5143,0.01467,-0.0061
naca0210,0.0,0.2,10.0,100000,0.25,5,0.5904,0.01834,0.0014
naca0210,0.0,0.2,10.0,100000,0.25,6,0.6785,0.0236,0.0069
naca0210,0.0,0.2,10.0,100000,0.25,7,0.77,0.0309,0.0117
naca0210,0.0,0.2,10.0,100000,0.25,8,1.4133,0.0576,-0.1626
naca0210,0.0,0.2,10.0,100000,0.3,0,-0.0,0.01379,0.0
naca0210,0.0,0.2,10.0,100000,0.3,1,0.1385,0.01432,-0.0098
naca0210,0.0,0.2,10.0,100000,0.3,2,0.3483,0.01328,-0.0242
naca0210,0.0,0.2,10.0,100000,0.3,3,0.4375,0.01344,-0.0141
naca0210,0.0,0.2,10.0,100000,0.3,4,0.5284,0.01423,-0.0085
naca0210,0.0,0.2,10.0,100000,0.3,5,0.5985,0.01899,0.0024
naca0210,0.0,0.2,10.0,100000,0.3,6,0.6894,0.02442,0.0082
naca0210,0.0,0.2,10.0,100000,0.3,7,0.7775,0.03258,0.0137
naca0210,0.0,0.2,10.0,100000,0.3,8,0.8328,0.04432,0.0204
naca0210,0.0,0.2,10.0,200000,0.1,0,-0.0,0.01004,0.0
naca0210,0.0,0.2,10.0,200000,0.1,1,0.2235,0.00948,-0.0219
naca0210,0.0,0.2,10.0,200000,0.1,2,0.3164,0.00918,-0.0165
naca0210,0.0,0.2,10.0,200000,0.1,3,0.4086,0.00982,-0.0118
naca0210,0.0,0.2,10.0,200000,0.1,4,0.4982,0.01113,-0.0074
naca0210,0.0,0.2,10.0,200000,0.1,5,0.5827,0.01355,-0.003
naca0210,0.0,0.2,10.0,200000,0.1,6,0.6664,0.01661,0.002
naca0210,0.0,0.2,10.0,200000,0.1,7,0.7531,0.02035,0.0065
naca0210,0.0,0.2,10.0,200000,0.1,8,0.8416,0.02536,0.0104
naca0210,0.0,0.2,10.0,200000,0.15,0,-0.0,0.01005,0.0
naca0210,0.0,0.2,10.0,200000,0.15,1,0.222,0.0095,-0.0212
naca0210,0.0,0.2,10.0,200000,0.15,2,0.3188,0.00923,-0.0164
naca0210,0.0,0.2,10.0,200000,0.15,3,0.4116,0.0099,-0.0117
naca0210,0.0,0.2,10.0,200000,0.15,4,0.5017,0.01124,-0.0073
naca0210,0.0,0.2,10.0,200000,0.15,5,0.5862,0.01375,-0.0027
naca0210,0.0,0.2,10.0,200000,0.15,6,0.6706,0.01682,0.0025
naca0210,0.0,0.2,10.0,200000,0.15,7,0.758,0.0207,0.0072
naca0210,0.0,0.2,10.0,200000,0.15,8,0.8463,0.02603,0.0114
naca0210,0.0,0.2,10.0,200000,0.2,0,-0.0,0.01006,0.0
naca0210,0.0,0.2,10.0,200000,0.2,1,0.2195,0.00954,-0.0201
naca0210,0.0,0.2,10.0,200000,0.2,2,0.3222,0.00931,-0.0163
naca0210,0.0,0.2,10.0,200000,0.2,3,0.416,0.01001,-0.0116
naca0210,0.0,0.2,10.0,200000,0.2,4,0.5065,0.01141,-0.0071
naca0210,0.0,0.2,10.0,200000,0.2,5,0.5925,0.01398,-0.0024
naca0210,0.0,0.2,10.0,200000,0.2,6,0.6761,0.01721,0.0032
naca0210,0.0,0.2,10.0,200000,0.2,7,0.7649,0.02124,0.0082
naca0210,0.0,0.2,10.0,200000,0.2,8,0.8524,0.02708,0.0127
naca0210,0.0,0.2,10.0,200000,0.25,0,0.0015,0.01005,-0.0003
naca0210,0.0,0.2,10.0,200000,0.25,1,0.2163,0.00959,-0.0187
naca0210,0.0,0.2,10.0,200000,0.25,2,0.3268,0.00941,-0.0162
naca0210,0.0,0.2,10.0,200000,0.25,3,0.4217,0.01015,-0.0115
naca0210,0.0,0.2,10.0,200000,0.25,4,0.5129,0.01163,-0.0067
naca0210,0.0,0.2,10.0,200000,0.25,5,0.7938,0.01407,-0.0538
naca0210,0.0,0.2,10.0,200000,0.25,6,0.6831,0.01786,0.0043
naca0210,0.0,0.2,10.0,200000,0.25,7,0.7738,0.02205,0.0095
naca0210,0.0,0.2,10.0,200000,0.25,8,0.8693,0.02798,0.0135
naca0210,0.0,0.2,10.0,200000,0.3,0,-0.0,0.01005,0.0
naca0210,0.0,0.2,10.0,200000,0.3,1,0.2129,0.00964,-0.0171
naca0210,0.0,0.2,10.0,200000,0.3,2,0.3328,0.00955,-0.0161
naca0210,0.0,0.2,10.0,200000,0.3,3,0.4292,0.01033,-0.0113
naca0210,0.0,0.2,10.0,200000,0.3,4,0.5209,0.01193,-0.0063
naca0210,0.0,0.2,10.0,200000,0.3,5,0.6065,0.01489,-0.0007
naca0210,0.0,0.2,10.0,200000,0.3,6,0.6937,0.01838,0.0056
naca0210,0.0,0.2,10.0,200000,0.3,7,0.7844,0.02335,0.0112
naca0210,0.0,0.2,10.0,200000,0.3,8,0.8638,0.03068,0.0175
naca0210,0.0,0.2,10.0,300000,0.1,0,0.0,0.00746,-0.0
naca0210,0.0,0.2,10.0,300000,0.1,1,0.1442,0.00758,-0.0041
naca0210,0.0,0.2,10.0,300000,0.1,2,0.3038,0.00806,-0.013
naca0210,0.0,0.2,10.0,300000,0.1,3,0.4064,0.0088,-0.0115
naca0210,0.0,0.2,10.0,300000,0.1,4,0.4994,0.01006,-0.0084
naca0210,0.0,0.2,10.0,300000,0.1,5,0.5878,0.01205,-0.0046
naca0210,0.0,0.2,10.0,300000,0.1,6,0.675,0.01436,-0.0001
naca0210,0.0,0.2,10.0,300000,0.1,7,0.7616,0.01712,0.0045
naca0210,0.0,0.2,10.0,300000,0.1,8,0.8487,0.02071,0.0086
naca0210,0.0,0.2,10.0,300000,0.15,0,0.0,0.00745,-0.0
naca0210,0.0,0.2,10.0,300000,0.15,1,0.1425,0.00759,-0.0035
naca0210,0.0,0.2,10.0,300000,0.15,2,0.3038,0.00811,-0.0125
naca0210,0.0,0.2,10.0,300000,0.15,3,0.4096,0.00887,-0.0115
naca0210,0.0,0.2,10.0,300000,0.15,4,0.503,0.01016,-0.0083
naca0210,0.0,0.2,10.0,300000,0.15,5,0.5915,0.01224,-0.0043
naca0210,0.0,0.2,10.0,300000,0.15,6,0.678,0.01475,0.0005
naca0210,0.0,0.2,10.0,300000,0.15,7,0.7663,0.0174,0.0052
naca0210,0.0,0.2,10.0,300000,0.15,8,0.8536,0.02126,0.0096
naca0210,0.0,0.2,10.0,300000,0.2,0,0.0,0.00745,-0.0
naca0210,0.0,0.2,10.0,300000,0.2,1,0.1399,0.00762,-0.0025
naca0210,0.0,0.2,10.0,300000,0.2,2,0.3037,0.00818,-0.0118
naca0210,0.0,0.2,10.0,300000,0.2,3,0.4142,0.00897,-0.0115
